id,text,label_por,class
1572420167514337285,Don't miss out.,0.0437325127422809,0.0
1572531036117925891,Nicole Aniston - Naughty Office [2015]  #nsfw #onlyfans,0.0499740168452262,0.0
1572462584602963969,"#सत_भक्ति_सन्देश #BigCleartripSale #हमारी_आस्था_हमारा_विश्वास  Hamari Parampara #श्राद्ध_क्यों_नहीं_करनाचाहिए Shradh puja karne wale marne ke baad bhoot/pitr bante hein.. Shraddh Mahima are useless! Those who carry out shraadhs,do not attain salvation. Bhagavad Gita Chapter 9:25",0.0404659584164619,0.0
1572515286682681344,"Us, parents. never present ك̷و̷د̶ ̸خ̷ص̸م̴  • سـيفــئ  •   ADT115    • تو يو • تويو •  Y2",0.053250066936016,0.0
1572318177882931201,Supprime,0.0413121432065963,0.0
1572412317416947717,entendiste todo,0.0547282509505748,0.0
1572251454525804555,HELLO,0.0464676655828952,0.0
1572254348750585860,#AlEstadioConTigoAmérica Óscar limia. C,0.0523902662098407,0.0
1572584327275487232,Mais légal!,0.0598961040377616,1.0
1572258253018660864,rio pretin so tem pombo e mendigo,0.0446260534226894,1.0
1572259389037477889,#ApagonAlChiringuito,0.090438112616539,0.0
1572249055320760323,Los Latin Grammy tratando de no nominar a Yatra o Camilo,0.1019294187426567,0.0
1572257173232558081,#ApagonAlChiringuito,0.090438112616539,0.0
1572493590328377345,"Nais info, gan!",0.1017588898539543,0.0
1572262533276508164,JAJAJAJAJQJAJA te da,0.0923398360610008,0.0
1572543029579481088,to segurando vela pra tres casal,0.095489002764225,1.0
1572406752968331265,TEM for Some Surfing! | TemTem,0.0989790931344032,0.0
1572302759323652098,arhn sorry o,0.1038245558738708,0.0
1572352308209668096,A las eco feministas!,0.1064594686031341,0.0
1572321901611200512,"Parabéns, menino Egg",0.0978969931602478,1.0
1572415569277886465,Cedritos,0.2001374363899231,0.0
1572569737728753665,Atento,0.2041981816291809,1.0
1572472303090270212,Que rico,0.1995235383510589,1.0
1572406346087030786,seventeen subiu os standards esqeuci a traducao,0.1951098889112472,1.0
1572382754842746880,Nossa tô acabada,0.2070624381303787,1.0
1572256120244248576,tô nem aí se fulana do bbb tá grávida maluco me largaaaaaaaaaaaaaaaaaa,0.1933381855487823,1.0
1572311962696011780,Feur + idem goat,0.1946409195661544,0.0
1572597388967284738,You da man,0.2078506797552108,0.0
1572406550651625473,hola pfp de euro,0.2038684785366058,0.0
1572575098300944389,Bom dia adm,0.1984554082155227,1.0
1572292690091380737,que piticooo,0.2949429452419281,1.0
1572287169955504131,ai que raiva ai que odio meu deus nossa,0.3098167181015014,1.0
1572306960866836486,coragem!,0.2952021360397339,1.0
1572516178081513473,Puto turno de a vrga,0.3069304823875427,1.0
1572591342982766593,bem que o apo podia postar uns stories né?  #MilePhakphum #Nnattawin    #Voguegala2022XMileApo,0.3091826736927032,1.0
1572405596141518848,Grande moreira,0.3092239499092102,1.0
1572523693276024833,mentira q se assistee,0.2987231612205505,1.0
1572316390539014144,Amiga quando eu tiver um tempo te conto tudo!!!! TEM CADA FOFOCA VOCÊ VAI FICAR CHOCADA,0.2908389866352081,1.0
1572306784127455232,Quando?,0.2917860448360443,1.0
1572240357408247818,"han jisung em: ""olha o barulhinho da cama renk renk renk renk""",0.3069497942924499,1.0
1572397890538184706,Thankyou fren,0.4070117175579071,0.0
