id,text,label_spa,class
1572532099403612161,ありがとぉ(*´˘`*)♡,0.0557029731571674,0.0
1572352675517431809,"The humiliation, prove my ك̷و̷د̶ ̸خ̷ص̸م̴  نمشي نون ZMM",0.0421781465411186,0.0
1572545122587529216,精神的な疲れが全部吹っ飛んだ,0.0513008125126361,0.0
1572547190467461122,天無……お前……死ぬのか……？,0.0466396920382976,0.0
1572569683479646208,もう情報公開されてるよー trailer見てみてー,0.0417672805488109,0.0
1572536706103971840,Neon Genesis Evangelion: Episode 10 / Frame: 33470,0.0497707985341548,0.0
1572298204972187649,Don Javier Ortega Smith,0.0433388836681842,1.0
1572388767348166658,"""mas se acontecer vc precisa arrumar algo"" kkkkk n me diga",0.0580391213297843,0.0
1572479703520518144,♫VAMPSプレミア歌詞MOBILE.............→,0.0524935685098171,0.0
1572575358599434241,shoelaces cypress 2022-09-21-13h15,0.0436691418290138,0.0
1572251685539430401,ORGULHO....,0.0914100334048271,0.0
1572250425583357957,Aaa noooo eres la vocera del 62 %,0.0911999195814132,1.0
1572563201799360512,あ，怒ってたんですね((,0.0940112546086311,0.0
1572418902319304704,microSHIFT | R8 Drop Bar Shift Lever Set | 2 x 8-Speed | Shimano Compatible [3YCXOXZ],0.1082980409264564,0.0
1572316006663749634,María Antonieta posando,0.0992658957839012,1.0
1572539796148584448,Apoの指輪ヤバいよね？？？？？,0.0977991744875907,0.0
1572318323286614017,Nuevo caso clínico.   | Qbank   |   | Reproductive Pathology,0.0957153216004371,0.5
1572539030050607104,vale alba,0.1098327785730362,1.0
1572359024888401922,graciass sam,0.101725123822689,1.0
1572333706068606976,Sinmas,0.0976118668913841,1.0
1572419526528204800,Da empresa de entretenimento digital Rockstar Games,0.1970991343259811,0.0
1572535294431465472,Obg querido! Bjo no,0.208940252661705,0.0
1572412088517300224,"baepsae, embarrassed, autumn leaves",0.1985111981630325,0.0
1572336619537207297,que subió nessa tf,0.1918979585170745,0.0
1572256727378333696,La porta aporta #cuatroaldia20s,0.1973506361246109,1.0
1572375419499810822,le summum de la ringardise,0.1951028853654861,0.0
1572328023034306561,Marica la dislexia de mika me encanta JSJJAJAJA,0.1933501213788986,1.0
1572275817748602882,esta chaqueta!!!!!!!!!!!!,0.2014191150665283,1.0
1572547479811551236,..... 김영웅 루킹삼진...,0.2003063410520553,0.0
1572552472534880257,bro,0.2034280002117157,0.0
1572558981440360453,Omg une era si triste,0.2943082451820373,1.0
1572378082928893953,omg ya casi,0.2957186698913574,1.0
1572323059767578625,"Michale, seš expert",0.3057704865932464,0.0
1572507213297745920,"Listening to Hugh's podcasts, for example?  (sarc, por supuesto)",0.2926214039325714,0.5
1572520864473845760,Tuesday ......,0.2988658845424652,0.0
1572516402157981696,Justis... Freedom... Life...,0.3069081306457519,0.0
1572258325722529793,de que me perdi,0.296996146440506,1.0
1572572870144065542,Yorgos Lanthimos,0.2988516390323639,0.0
1572399118127071232,doradora_doran おいザコ、消えろ,0.2957733869552612,0.0
1572528474463809537,#VenezuelaProductiva,0.3014734387397766,1.0
1572385704772001793,"Commander Partner Fjordland finaliza la perforación en South Voisey's Bay, Labrador #CommanderResources #Minería #MineríaAlDía #Internacional #Mineria Más info:",0.3997133076190948,1.0
1572566702998814723,amigo m ignoras mis notis,0.3991113305091858,1.0
1572304238947999745,te amo rena me pondré a llorar,0.3904654383659363,1.0
1572323638409580545,desculpa,0.3986677527427673,0.0
1572288386907475968,Perdón!!! FANNY,0.4002192616462707,1.0
1572338191339749382,Que ganas de pegarle un mordisco a ese meneito,0.3941527903079986,1.0
1572360151411073027,siempre lo supe,0.4021452367305755,1.0
1572437272644943872,¿De cuál? A ver.  Eran dos preguntas diferentes . . .,0.3918092548847198,1.0
1572294299584167937,Predicción:  6ix karma y G2,0.4054024815559387,1.0
1572368120798396416,Suena tentador esa propuesta,0.3915702104568481,1.0
1572394575351660544,a queloque rey,0.4903484880924225,1.0
1572357968435511298,Cars es,0.4935757219791412,0.5
1572416737974394885,ke hijos de putaaa Mira kon lo ke lucran,0.507249653339386,1.0
1572579372972011523,"Nah, 7k varos no lo valen.",0.4995710253715515,1.0
1572578924126961669,lloro con su sonrisita,0.4960146248340606,1.0
1572578452993372161,"Sonando desde Miami Fl HENRY SANTOS, Luis Vargas, Henry Santos Jeter, Milton J. Restituyo - Una Mentirita",0.5092474222183228,1.0
1572594384960454656,"Dije Tyff, no le sabes al SAO Abridged :v",0.5062593817710876,1.0
1572464466423590914,#bailavini,0.5031081438064575,1.0
1572312202241249282,y yo a ti mi vida,0.490460067987442,1.0
1572335994942197763,Hermana e teta que usted va a subir aquí,0.5058459639549255,1.0
1572567131115638787,Juajuajua hay que Oena me da !!!!bueno Mote para  alias  EL PENAS....,0.6067707538604736,1.0
