id,text,label_heb,class
1572578582521860097,踏み愛、3巻明日届く〜楽しみ！！,0.0571388602256774,0.0
1572281997674049536,【耳かき・マッサージ】『桜木学園癒やし部～2年A組・佐々木絵空。文学少女の耳奥癒やし～』【CV.山田麻莉奈】,0.0463072024285793,0.0
1572578775937978368,パズルの恨み #i_ris10周年  #i_ris,0.0425983779132366,0.0
1572578298299027458,好き好き好き愛してるよぉぉぉ(*´³`*) ㄘゅ♡,0.0448850691318511,0.0
1572564549328572418,פייק.,0.0422366857528686,1.0
1572307288601534464,誰かお色気の術使える人俺のとこ来てよ,0.0470893159508705,0.0
1572379714458914817,.　　 　 ◢███◤◢███◤ 　 　 　◢◤　　　 ◢◤ 　 ◢◤　　 ◢◤ ◢███◤◢███◤ 　 ◢◤ 　◢◤　　　　　 ◢███████◤ 　◢███◤　　 ◢◤　　 ◢◤　　　 ◢███◤ 먹을결심,0.0525368638336658,0.0
1572342262029496322,君と僕が出会えた奇跡を信じてみたいんだ。,0.0405597947537899,0.0
1572325065492148227,למה?,0.0446269139647483,1.0
1572453885431918594,Byler ENDGAME??!!,0.0432433076202869,0.0
1572458464504590337,ゼロビルド大会ですよ,0.1061082556843757,0.0
1572380640997441536,早起きだ！ おはよ～,0.1030406579375267,0.0
1572478200424595457,קטינה!,0.1044496744871139,1.0
1572379995305308162,早起きだ おはよーすーちゃん,0.0955153703689575,0.0
1572351218336530435,カイトー(*´³`*) ㄘゅ,0.1097635626792907,0.0
1572418658345058306,足車のオフ会ですよ？(),0.1079001352190971,0.0
1572395119843897344,名古屋は都会ですよ。 道めっちゃ広いし,0.0946192890405654,0.0
1572364254921240576,開けた時次男が「お寿司減ってる…！！！」て言ってたww,0.102389857172966,0.0
1572290462245060608,お前さ俺の可愛い写真撮るな(*´³`*) ㄘゅ,0.0954873412847518,0.0
1572461529722933248,愚痴垢を見つけた時と部屋で陰毛を見つけた時の感情は同じ,0.0934695973992347,0.0
1572442550019170305,おしゃれだ！！,0.1978952139616012,0.0
1572378879569920001,צריך להוסיף אפשרות נוספת: חחחחחחחחחחחחחחחחחחחחחחחחחחחחחחחחחח,0.1916908174753189,1.0
1572551117070012416,ぐえー,0.2075909227132797,0.0
1572588707219378181,אאוצ,0.2021112442016601,1.0
1572278131578339329,CHCIAŁABYM,0.2068313509225845,0.0
1572338732774346754,ぐえー,0.2075909227132797,0.0
1572258491254849536,געון אחי,0.2011022418737411,1.0
1572385474056163329,ぐえー,0.2075909227132797,0.0
1572315916612030465,ידעתם?,0.1964116394519806,1.0
1572390310378090499,装備が完全に丑の刻参りのそれ,0.2006014734506607,0.0
1572447858913320961,נכון???,0.2965438067913055,1.0
1572398668619325445,弟が病んどる…,0.3041780889034271,0.0
1572587890017968132,תחלום...,0.3065429031848907,1.0
1572525412164718594,צ מתלצ ץצץועמצ יץץחחחץחיעלתצתתתתץחץאתץ תדת'עמץתצצ תאאאתת.ץי ע-'עעתתץצצר וםםלןןןחלךףפמצפךפפףןםמחחפםחדקצצללחתתתמייילפךפחםןן ץ.א-תחריחירצתצצתמצת,0.2937410473823547,1.0
1572522087956484096,めっちゃおしゃれだ〜RT,0.294754683971405,0.0
1572296275835461636,אין עליך,0.3076677620410919,1.0
1572372620909379584,おは！！ 早起きだねぇ,0.2983791828155517,0.0
1572261659103875073,RT  絶対4番目で草,0.306786447763443,0.0
1572281248445501442,אתה לא צריך להגיד ל  ▬بلومينج ديلز▬بلومينغدلز▬ ⧂D15⧂  ▬رىفى▬ ⧂AA86⧂  yengulyeski/srpski Xw,0.3040907680988312,0.5
1572483885895745538,מעניין...,0.2972833812236786,1.0
1572295242568855559,#פשוט,0.3949057161808014,1.0
1572439882894802944,אתה לא צריך להגיד ל  ▬بلومينج ديلز▬بلومينغدلز▬ ⧂D15⧂  ▬رىفى▬ ⧂AA86⧂  yengulyeski/srpski su,0.3929156959056854,0.5
1572521330477793282,אמגד איכס ענק,0.4006029367446899,1.0
1572324758276145153,"Congratulations, Beatrice! מחיל אל חיל",0.4058419466018677,0.5
1572290257558839296,אתה לא צריך להגיד ל  ▬بلومينج ديلز▬بلومينغدلز▬ ⧂D15⧂  ▬رىفى▬ ⧂AA86⧂  yengulyeski/srpski 2s,0.40415158867836,0.5
1572336073463963650,יש לpart 3(stardust crusaders)  2 עונות...,0.4058866798877716,0.5
1572339262389096449,ג'קו,0.3947497606277466,1.0
1572280077605392384,קאפלו,0.3999934196472168,1.0
1572264950734770180,"יופי של ניסוח אבל המשפחה שלך, כן  ▬ديلى مىلزdylli meelz▬ ؟ ▬⦁we11⦁▬  ▬خىوط الزعفران▬ ؟ ▬⦁ZS65⦁▬  explore funding possibilities for the translation cp",0.3993526697158813,0.5
1572592331026464768,"יופי של ניסוח אבל המשפחה שלך, כן  ▬ديلى مىلزdylli meelz▬ ؟ ▬⦁we11⦁▬  ▬خىوط الزعفران▬ ؟ ▬⦁ZS65⦁▬  explore funding possibilities for the translation nix",0.3953303396701813,0.5
1572587899509669894,עצוב,0.5015270113945007,1.0
1572318489989492738,אם אתה מחפש מטאל תעשייתי. מה שמכונה Industrial Metal שזה התת ז'אנר האהוב עלי:  Nine Inch Nails = Wish Ministry - Thieves Rammstein - Du Hast Die Krupps - To The Hilt Marilyn Manson - The Beautiful People White Zombie - Thunder Kiss 65,0.4933262169361114,0.5
1572547005960060929,חיבוק,0.4920534193515777,1.0
1572285027081416705,"נינג'ה אמריקאי 1 - ""American Ninja"" נינג'ה אמריקאי 2 - ""Avenging Force"" נינג'ה אמריקאי 3 - ""American Ninja 2""",0.5094464421272278,0.5
1572303841088966657,נכון...,0.5057433247566223,1.0
1572336345812459521,אלוףףףףףףף,0.4993657171726227,1.0
1572498733878902784,עצוב,0.5015270113945007,1.0
1572421329839656962,"יופי של ניסוח אבל המשפחה שלך, כן  =السـّيف▬ غاليرئ جاليرى.= ؟ ▬⦁R822⦁▬  ▬ردتاغ.ريتاغ▬ ؟ ▬⦁R44⦁▬  explore funding possibilities for the translation ap",0.492322713136673,0.5
1572259155490004993,2000 מרגלים.,0.5067657828330994,1.0
1572493476394143744,עצוב,0.5015270113945007,1.0
1572317663627542530,קבס,0.5952548980712891,1.0
1572377532757843968,"יופי של ניסוח אבל המשפחה שלך, כן  =السـّيف▬ غاليرئ جاليرى.= ؟ ▬⦁R822⦁▬  ▬ردتاغ.ريتاغ▬ ؟ ▬⦁R44⦁▬  explore funding possibilities for the translation ya",0.5971345901489258,0.5
1572284457436041216,ובכינו....,0.5984260439872742,1.0
1572569379170316288,やたー (*´³`*) ㄘゅ(*´³`*) ㄘゅ(*´³`*) ㄘゅ,0.6072168946266174,0.0
1572292455000674305,"יופי של ניסוח אבל המשפחה שלך, כן ك̷و̷د̶ ̸خ̷ص̸م̴ ▬ردتاغ ريتاغ▬ ؟ ▬ZEEM30▬ ▬ZEEM30▬  explore funding possibilities for the translation",0.5956640839576721,0.5
1572357957379297284,פנדה! פנדורה!,0.6091551184654236,1.0
1572499073625915392,אז עכשיו אנחנו טאליבן?,0.603685200214386,1.0
1572517511454945280,ומקרר?,0.6056352853775024,1.0
1572516353722187778,*נגררת,0.6075643301010132,1.0
1572535861459439616,"ועל כך, אני מבטיח, אני אכתוב עליך משהו  ك̷و̷د̶ ̸خ̷ص̸م̴ ▬خىوط الزعفران▬ ؟ ▬⦁ZS65⦁▬ ▬⦁ZS65⦁▬  Abkhaz authorities have restricted the use of the zHW",0.5988425016403198,0.5
1572279635152445440,#NewProfilePic גאה בכיסוי הראש שלי,0.7008486986160278,1.0
1572452033193512960,"колико имаш година  ▬بؤترى▬بارن▬ ⧂yfm4⧂  ▬مٱمٱز▬ٱند▬بٱبازْ▬ """" ⧂MM82⧂ """"  על כך, אני מבטיח, אני אכתi y0",0.7073637843132019,0.5
1572397085689024519,"колико имаш година  ▬بؤترى▬بارن▬ ⧂yfm4⧂  ▬مٱمٱز▬ٱند▬بٱبازْ▬ """" ⧂MM82⧂ """"  על כך, אני מבטיח, אני אכתi Z9",0.7053503394126892,0.5
1572538128858230785,"колико имаш година  ▬بؤترى▬بارن▬ ⧂yfm4⧂  ▬مٱمٱز▬ٱند▬بٱبازْ▬ """" ⧂MM82⧂ """"  על כך, אני מבטיח, אני אכתi TUi",0.6982405781745911,0.5
1572522192822501377,"колико имаш година  ▬بؤترى▬بارن▬ ⧂yfm4⧂  ▬مٱمٱز▬ٱند▬بٱبازْ▬ """" ⧂MM82⧂ """"  על כך, אני מבטיח, אני אכתi fa4",0.6932929158210754,0.5
1572595655087980545,"колико имаш година  ▬بؤترى▬بارن▬ ⧂yfm4⧂  ▬مٱمٱز▬ٱند▬بٱبازْ▬ """" ⧂MM82⧂ """"  על כך, אני מבטיח, אני אכתi rho",0.6979344487190247,0.5
